Observa_lematizada ; Observa_Orig ; Presta_Lematizada;Presta_Orig
árbol rama grande q traspasar mobiliario lindero escuela anchoreno 441 q llegar escuela .limpieza despejar 2 lugar pos invierno;El árbol, ramas grandes q traspasan el mobiliario  y lindera con escuela de anchorena 441 q también llegan a la escuela .limpieza y despeje de los 2 lugares ,pos invierno;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00263812/23
señalizacion escuela señalizacion prohibido estacionar;Señalizacion  escuela y señalizacion de prohibido estacionar;reparación señal tránsito;Reparación de señal de tránsito;00230769/23
Luz prendido día;Luz  prendida  durante el  día;reparación luminario apagado noche;Reparación de luminaria apagada durante la noche;00276028/23
gente colchón carro vereda;Hay gente con colchones, carros, en la vereda;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00046538/23
campana verde cerca ubicación;No hay campana verde cerca de esta ubicación;Instalación Campana Verde;Instalación de Campana Verde;00074205/23
escuela Niñas Ayohuma sector enfrente cocina lleno basura cucaracha enorme cada día ver lugar metro el ventana puerta cocina Fumigación urgente;En la escuela Niñas de Ayohuma, en el sector de enfrente donde está la cocina está lleno de basura y de CUCARACHAS ENORMES. Cada día se ven más y en más lugares. A metros nada más de donde están ls ventanas y puerta de la cocina. Fumigación urgente!;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00074203/23
campana verde zona;No hay campana verde en la zona;Instalación Campana Verde;Instalación de Campana Verde;00180181/23
solicitar campana verde ubicación cercani;Solicito campana verde para esa ubicación o cercani;Instalación Campana Verde;Instalación de Campana Verde;00159871/23
tratar local hacer fiesta clandestino clausurar hacer mes volver abrir fachada cartel calle entender tampoco habilitacion q hacer año parrilla hacer fiesta fin semana especial fijo lunes 7 am;se trata de un local donde se hacen fiestas clandestinas que estuvo clausurado pero ya hace meses lo volviero a abrir. No tiene fachada ni cartel a la calle (entiendo que tampoco habilitacion ya q era hace unos años una parrilla) hacen fiestas los fines de semana pero en especial como fijo tienen los lunes a las 7 am;recital show vivo actividad baile permiso;Recital, show en vivo o actividad de baile sin permiso;00333146/23
dejar hacer 15 dia bolsa escombro puerta casa;dejaron hace 15 dias una bolsa de escombros en la puerta de mi casa;retiro escombro resto obra;Retiro de escombros / restos de obra;00333055/23
;;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00208313/23
Fardos vereda;Fardos en vereda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00193688/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00249183/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00231742/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00224097/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00238644/23
retiro hoja palmera;Retiro de hojas de palmera;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00054074/23
obra construcción realizar tarea Aviso Obra sino construir ruido vibración molesto constantemente Permiso obra;Obra en construcción, no se están realizando tareas de Aviso de Obra sino que se está construyendo. Ruidos y vibraciones molestos constantemente. No tienen Permiso de obra.;ruido molesto vibración;Ruidos molestos y vibraciones;00242660/23
;;Construcción permiso cartel reglamentario código QR;Construcción sin permiso o sin cartel reglamentario con código QR;00248984/23
cesto abrir roto;El cesto no abre y está todo roto;queja Contenedores basura;Queja por Contenedores de basura;00027411/23
cartel obra rebotar todo casa construcción hacer;No hay cartel de obra y me rebota toda la casa con la construcción que están haciendo;Construcción permiso cartel reglamentario código QR;Construcción sin permiso o sin cartel reglamentario con código QR;00062539/23
siempre estacionar doble fila día;Siempre estacionan en doble fila durante el día;vehículo mal estacionado;Vehículo mal estacionado;00109938/23
vehículo doble fila 30 min;Vehículo en doble fila por 30 min;vehículo mal estacionado;Vehículo mal estacionado;00141115/23
camioneta estacionado doble fila 30 min Obstaculiza tránsito meditec lado tb estacionar doble fila;Camioneta estacionada en doble fila durante 30 min. Obstaculiza el tránsito ya que los de meditec (al lado) tb estacionan en doble fila;vehículo mal estacionado;Vehículo mal estacionado;00139486/23
garage auto poder ingresar propietario vehículo;Está en mi garage y no es mi auto!! No podía ingresar y el propietario no estaba en el vehículo;vehículo mal estacionado;Vehículo mal estacionado;00359828/23
vecina solicitar volver colocar contenedor llevar madrugada día 02 01 23 vecino dejar basura mismo sitio ubicado contenedor;La vecina solicita que vuelvan a colocar el contenedor que se llevaron en la madrugada del día 02/01/23, ya que los vecinos dejan la basura en el mismo sitio donde estaba ubicado el contenedor.;queja Contenedores basura;Queja por Contenedores de basura;00000852/23
vecina solicitar pasar retirar 13 bolsa escombro encontrar vereda domicilio asentado;La vecina solicita que pasen a retirar las 13 bolsas de escombros que se encuentran en la vereda del domicilio asentado.;retiro escombro resto obra;Retiro de escombros / restos de obra;00052280/23
escombro embolsado;Escombros embolsados;retiro escombro resto obra;Retiro de escombros / restos de obra;00353601/23
20 bolsa poda;son 20 bolsas de poda;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00311516/23
vecino solicitar retiro hacer día aun proceder;el vecino solicito e retiro hace días y aun no procedieron;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00332271/23
poda jardin;Poda de jardin;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00039439/23
vehículo mal estacionado puerta casa garage;Hay un vehículo mal estacionado en la puerta de mi casa, es un garage;vehículo mal estacionado;Vehículo mal estacionado;00087386/23
podar arbusto arbol colgar hoja veredo ver caminar;Podar arbustos y arbol, cuelgan las hojas hasta la vereda y no se ve nada al caminar.;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00310450/23
buen dia solicitar reparacion veredo calle avellanedo 2180 esquina gavilan quedar terminar cambio vereda hacer GCBA ademas estar romper baldosas encontrar despegado ser trabajo malo calidad hecho Uds Dejo constancia cualquiera accidente sufrir cualquiera persona circular vereda total responsabilidad GCBA contratar empresa colocador ser supervesar Uds;buenos dias solicito reparacion de la vereda de la calle avellaneda 2180 esquina gavilan ya que quedo sin terminar el cambio de vereda que hizo el GCBA y ademas se estan rompiendo las baldosas y otras se encuentran despegadas, por ser un trabajo de mala calidad hecho por Uds. Dejo constancia que cualquier accidente que sufra cualquier persona que circula  por esa vereda es de total responsabilidad del GCBA por contratar empresas de colocadores y no ser supervisados por Uds.;reparación veredo;Reparación de vereda;00148091/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00332308/23
solicitar recolección resto poda arbolado;Se solicita la recolección de los restos de una poda de arbolado.;faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público;00107572/23
vecina solicitar solicitar poda despeje iluminario arbol domicilio zona;la vecina solicita solicita poda y despeje de iluminaria para los arboles en su domicilio pero también para la zona;poda árbol despejar luminaria semáforo;Poda de árbol/despeje de luminaria o semáforo;00107476/23
;;desratizar desinsectar desinfectar vía público;Desratizar, desinsectar y desinfectar en vía pública;00144668/23
vecina solicitar retiro poda santo tomar arregui;La vecina solicita retiro de poda, entre santo tome y arregui;faltar recolección resto poder arbolado público;Falta de recolección de restos de poda de arbolado público;00144650/23
vecina solicitar mayor iluminacion cuadra ayacucho 900 indicar detro contenedor basura todo noche encontrar oscuro persona juntar ahi robar solicitar iluminar zona mas posible;la vecina solicita una mayor iluminacion en la cuadra de ayacucho al 900, ella indica que detras de unos contenedores de basura todas las noches se encuentra a oscuras y las personas se juntan ahi para robar, solicita que iluminen esa zona lo mas antes posible.;Mayor iluminación calle plaza;Mayor iluminación en calle / plaza;00321273/23
vecina solicitar mayor presencia policial calle ayacucho 915 indicar zona siempre juntar persona intención robar debido oscuridad detro contenedor solicitar mayor presencia policial noche encontrar mas oscuro;la vecina solicita mayor presencia policial en la calle de ayacucho 915, indica que en esa zona siempre se juntan personas con intenciones de robar debido a la oscuridad que hay detras de los contenedores. solicita mayor presencia policial por la noche ya que es cuando se encuentra mas oscura.;Mayor presencia policial;Mayor presencia policial;00321346/23
vecina comentar 6 fardo 2 bolsa poda domiciliari vereda pidir pasen retirar;LA VECINA COMENTA QUE TIENE 6 FARDOS Y 2 BOLSAS CON PODA DOMICILIARIA EN LA VEREDA Y PIDE QUE LO PASEN A RETIRAR;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00341676/23
vecina solicitar pasar hidro lavadora vereda cuadra mucho basura pegada;la vecina solicita que pasen la hidro lavadora por su vereda ya que en su cuadra hay mucha basura pegada;hidrolavado grafitis pegatina;Hidrolavado por grafitis/pegatinas;00134990/23
vecina solicitar mejora barrer calle BORGES JORGE Luis 1916;La vecina solicita la mejora de barrido en la calle  BORGES, JORGE LUIS 1916;mejora barrer;Mejora de barrido;00135004/23
finalizar;finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00009621/23
finalizar;Finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00142036/23
finalizar;finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00124763/23
finalizar;finalizar;retiro escombro resto obra;Retiro de escombros / restos de obra;00325579/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00027186/23
escombro cuadrto;Hay escombros en mi cuadrta;retiro escombro resto obra;Retiro de escombros / restos de obra;00072722/23
;;retiro escombro resto obra;Retiro de escombros / restos de obra;00089830/23
vecina solito realizar bajado garaje domicilio ir instalar portón realizado bajado;Vecina solita que le realicen una bajada de garaje en el domicilio. Ya que va instalar un portón pero no tiene realizada la bajada.;Construcción rampo accesibilidad;Construcción de rampa de accesibilidad;00145461/23
vecina solicitar reparación veredo encontrar rajadura baldoso romper debido árbol encontrar allí;vecina solicita la reparación de vereda ya que esta se encuentra con rajaduras y baldosas rotas, debido a un árbol que se encuentra allí.;reparación veredo raíz árbol producir rotura;Reparación de vereda por raíces de árbol que producen roturas;00145424/23
solicitar recolección residuo debido viento remover hoja mugre;solicita la recolección de residuos debido que con los vientos remueve las hojas y mugre.;mejora barrer;Mejora de barrido;00254044/23
vecina querer desechar termotanque solicitar retiro mismo;la vecina quiere desechar su termotanque y solicita retiro del mismo;retiro residuo voluminoso mueble electrodoméstico;Retiro de residuos voluminosos (muebles y electrodomésticos);00245792/23
pilon rama poder embolsar estar vereda;Es un pilon de ramas no se puede embolsar estan sobre la vereda.;retiro resto jardinería domiciliario;Retiro de restos de jardinería domiciliaria;00305483/23
